file,title,description_length,canonical,hreflang,og,schema,h1_count,issues
"404.html","Không tìm thấy trang | Nguyễn Lan Anh","102","https://www.nguyenlananh.com/404.html","yes","yes","no","1","missing schema"
"admin/audit/index.html","Audit & Reports | Admin Nguyễn Lan Anh","0","","no","no","no","1","missing description; missing canonical; missing hreflang; missing og; missing schema"
"admin/content/index.html","Admin Content | Nguyễn Lan Anh","96","https://www.nguyenlananh.com/admin/content/","yes","yes","no","1","missing schema"
"admin/creator-applications/index.html","Creator Applications | Admin Nguyễn Lan Anh","0","","no","no","no","1","missing description; missing canonical; missing hreflang; missing og; missing schema"
"admin/creators/index.html","Admin Creators | Nguyễn Lan Anh","71","https://www.nguyenlananh.com/admin/creators/","yes","yes","no","1","missing schema"
"admin/dashboard/index.html","Bảng điều khiển quản trị | Nguyễn Lan Anh","82","https://www.nguyenlananh.com/admin/dashboard/","yes","yes","no","1","missing schema"
"admin/events/index.html","Sự kiện & Logs | Admin Nguyễn Lan Anh","0","","no","no","no","1","missing description; missing canonical; missing hreflang; missing og; missing schema"
"admin/index.html","Nền quản trị | Nguyễn Lan Anh","104","https://www.nguyenlananh.com/admin/","yes","yes","no","1","missing schema"
"admin/learning/index.html","Learning Platform | Admin Nguyễn Lan Anh","0","","no","no","no","1","missing description; missing canonical; missing hreflang; missing og; missing schema"
"admin/login/index.html","Đăng nhập Admin | Nguyễn Lan Anh","0","https://admin.nguyenlananh.com/login/","no","yes","no","1","missing description; missing hreflang; missing schema"
"admin/members/index.html","Admin Members | Nguyễn Lan Anh","55","https://www.nguyenlananh.com/admin/members/","yes","yes","no","1","missing schema"
"admin/payments/index.html","Quản lý Thanh toán nội bộ | Nguyenlananh.com","115","https://www.nguyenlananh.com/admin/payments/","yes","yes","no","1","missing schema"
"admin/pilot/index.html","Admin Pilot | Nguyễn Lan Anh","130","https://www.nguyenlananh.com/admin/pilot/","yes","yes","no","1","missing schema"
"admin/reflection/index.html","Admin Reflection | Nguyễn Lan Anh","111","https://www.nguyenlananh.com/admin/reflection/","yes","yes","no","1","missing schema"
